Amaroo,1729072800,1.0,226.97,2.64,40.77,0.24,2.11,2.88,4.24
Amaroo,1729076400,1.0,226.97,2.83,37.19,0.22,2.25,3.13,4.43
Amaroo,1729080000,1.0,220.3,3.09,30.4,0.15,2.32,3.33,3.55
Amaroo,1729083600,1.0,213.62,3.51,21.28,0.08,2.26,3.26,2.31
Amaroo,1729087200,1.0,210.29,3.68,13.95,0.04,2.13,3.05,1.63
Amaroo,1729090800,1.0,206.95,3.6,9.74,0.03,2.11,2.99,1.28
Amaroo,1729094400,1.0,206.95,3.64,7.96,0.05,2.27,3.22,1.55
Amaroo,1729098000,1.0,203.61,3.77,6.8,0.06,2.48,3.48,2.41
Amaroo,1729101600,1.0,200.27,3.77,6.26,0.07,2.66,3.62,3.36
Amaroo,1729105200,1.0,198.6,3.73,5.9,0.08,2.74,3.65,4.05
Amaroo,1729108800,1.0,195.27,3.56,5.5,0.08,2.73,3.64,4.43
Amaroo,1729112400,1.0,191.93,2.06,7.96,0.08,2.75,3.72,3.9
Amaroo,1729116000,1.0,191.93,1.52,16.27,0.07,2.79,3.8,2.5
Amaroo,1729119600,1.0,195.27,1.16,30.04,0.07,2.84,3.79,1.98
Amaroo,1729123200,1.0,200.27,0.57,41.84,0.07,2.76,3.53,1.93
Amaroo,1729126800,1.0,223.64,0.18,47.21,0.15,1.4,1.62,0.47
Amaroo,1729130400,1.0,230.31,0.18,47.92,0.1,1.08,1.24,0.38
Amaroo,1729134000,1.0,233.65,0.21,48.64,0.08,0.99,1.13,0.4
Amaroo,1729137600,1.0,243.66,0.21,48.64,0.05,0.72,0.85,0.38
Amaroo,1729141200,1.0,250.34,0.22,49.35,0.04,0.63,0.76,0.4
Amaroo,1729144800,1.0,253.68,0.27,49.35,0.04,0.69,0.83,0.45
Amaroo,1729148400,1.0,253.68,0.62,45.06,0.04,0.83,1.0,0.82
Amaroo,1729152000,1.0,253.68,1.69,38.98,0.05,1.07,1.27,1.36
Amaroo,1729155600,1.0,253.68,2.87,32.9,0.06,1.31,1.54,1.77
Amaroo,1729159200,1.0,253.68,3.26,28.61,0.06,1.46,1.74,1.95
Amaroo,1729162800,1.0,250.34,2.7,26.82,0.06,1.52,1.84,1.87
Amaroo,1729166400,1.0,250.34,2.08,27.18,0.06,1.59,1.93,1.62
Amaroo,1729170000,1.0,253.68,1.65,28.25,0.06,1.63,1.96,1.33
Aranda,1728568800,1.0,267.03,10.62,39.34,1.07,5.87,8.09,1.33
Aranda,1728572400,1.0,260.35,7.71,45.78,0.88,6.97,10.0,1.17
Aranda,1728576000,1.0,250.34,6.25,42.92,0.71,7.25,10.53,1.3
Aranda,1728579600,1.0,247.0,6.0,34.69,0.58,7.2,10.36,1.42
Aranda,1728583200,1.0,240.33,5.74,28.25,0.54,7.03,10.0,1.55
Aranda,1728586800,1.0,233.65,5.65,23.25,0.59,6.74,9.45,1.8
Aranda,1728590400,1.0,233.65,6.08,19.13,0.69,6.54,9.08,1.99
Aranda,1728594000,1.0,243.66,6.51,17.88,0.95,6.8,9.45,2.25
Aranda,1728597600,1.0,260.35,7.03,27.18,1.3,6.99,10.04,2.15
Aranda,1728601200,1.0,270.37,7.8,42.56,1.49,7.23,10.74,2.06
Aranda,1728604800,2.0,263.69,6.34,70.1,1.86,7.95,11.98,2.15
Aranda,1728608400,2.0,230.31,1.59,81.54,1.51,5.51,8.92,1.04
Aranda,1728612000,2.0,220.3,0.64,75.1,0.95,4.22,6.82,0.82
Aranda,1728615600,2.0,216.96,0.39,67.23,0.6,3.28,5.19,0.74
Aranda,1728619200,2.0,220.3,0.27,64.37,0.41,2.78,4.23,0.76
Aranda,1728622800,2.0,223.64,0.28,65.8,0.37,2.68,3.99,0.77
Aranda,1728626400,2.0,223.64,0.32,65.8,0.35,2.74,3.84,0.76
Aranda,1728630000,1.0,230.31,1.95,57.94,0.4,2.99,3.94,1.41
Aranda,1728633600,1.0,236.99,4.97,47.21,0.47,3.34,4.24,2.41
Aranda,1728637200,1.0,240.33,6.85,40.77,0.55,3.7,4.66,3.26
Aranda,1728640800,1.0,253.68,9.08,35.76,0.75,4.29,5.43,4.02
Aranda,1728644400,1.0,280.38,12.34,31.11,1.0,5.27,6.62,3.17
Aranda,1728648000,1.0,303.75,15.42,28.61,1.3,5.97,7.61,1.85
Aranda,1728651600,1.0,257.02,9.34,31.83,1.09,3.54,5.2,1.09
Aranda,1728655200,1.0,223.64,4.5,35.76,0.75,2.06,3.69,0.72
Aranda,1728658800,1.0,211.95,2.23,40.41,0.64,1.77,3.61,0.59
Aranda,1728662400,1.0,208.62,1.37,43.27,0.61,1.83,4.01,0.53
Aranda,1728666000,1.0,206.95,1.2,44.35,0.63,1.93,4.38,0.56
